region;code_de_la_region;nom_du_departement;code_du_departement;geo_point_2d;geo_shape
Nouvelle-Aquitaine;75;Gironde;33;44.57290792946842, -0.4868191385777161;"{""coordinates"": [[-0.486807413481979, 44.572923618862106, 73.81294845882803], [-0.486830863673453, 44.57289224007474, 76.04944845754653]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;42.912558233669344, 0.6447264371659296;"{""coordinates"": [[0.644738520334464, 42.91244090595671, 487.34425149299204], [0.644714353997396, 42.91267556138199, 490.24195149354637]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.579820702121836, -0.17701741892449332;"{""coordinates"": [[-0.177043445526883, 44.579796763561205, 25.863448444753885], [-0.176991392322104, 44.579844640682474, 27.1429484449327]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.50528719690013, 0.007813903611586074;"{""coordinates"": [[0.007793194336275, 44.5053078954391, 63.65394857991487], [0.007834612886897, 44.50526649836115, 65.37494858168066]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.76825138521496, -0.5290168477292954;"{""coordinates"": [[-0.488999941935417, 43.7733234338174, 48.706949919462204], [-0.569033753523173, 43.76317933661252, 47.8809499386698]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.37126414625391, 1.6568207061268816;"{""coordinates"": [[1.657000769718115, 43.37123278756571, -4.9345195293e-05], [1.656640642535648, 43.371295504942104, -4.9347057939e-05]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;43.14996998098731, 2.9425622405521525;"{""coordinates"": [[2.942594339275992, 43.14990913844295, -4.8942863941e-05], [2.942530141828313, 43.15003082353167, -4.8941932619e-05]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.11617179369786, 0.6969959985019504;"{""coordinates"": [[0.696733767122857, 43.116177445367626, -4.8879534006e-05], [0.697258229881044, 43.1161661420281, -4.8881396651e-05]], ""type"": ""LineString""}"
Occitanie;76;Tarn;81;43.894340432562345, 1.9943611358551436;"{""coordinates"": [[1.915647651011916, 43.875602591762664, 156.71194973401725], [2.073074620698371, 43.913078273362025, 166.33994966372848]], ""type"": ""LineString""}"
Occitanie;76;Pyrénées-Orientales;66;42.79751487974787, 2.932163238371115;"{""coordinates"": [[2.932133567426832, 42.79750984533042, 7.850451700389385], [2.932192909315398, 42.79751991416533, 10.195951702073216]], ""type"": ""LineString""}"
